feature,Bin,WoE,Event rate,Count (%),Feature IV,feature_coeff_model,score_points,rare_categories,feature_type
AMT_CREDIT,"(44999.999, 142200.0]",0.297684,0.06121661262930369,0.05265682416831973,0.0553060741589143,0.3899219945224723,-3.3491743823774893,,numerical
AMT_CREDIT,"(142200.0, 180000.0]",0.10818,0.0730563493808163,0.055473805729894965,0.0553060741589143,0.3899219945224723,-1.2171083588153773,,numerical
AMT_CREDIT,"(180000.0, 277969.5]",0.052623,0.07690897664187703,0.15523072420409093,0.0553060741589143,0.3899219945224723,-0.5920492990011241,,numerical
AMT_CREDIT,"(277969.5, 4050000.0]",-0.036854,0.08350669631771503,0.7366386458976943,0.0553060741589143,0.3899219945224723,0.41463589809375034,,numerical
AMT_GOODS_PRICE,"(40499.999, 450000.0]",-0.172289,0.09447384264393675,0.5131377841371012,0.1026688648986372,-0.467625354821975,-2.3246637082715687,,numerical
AMT_GOODS_PRICE,"(450000.0, 675000.0]",0.047508,0.07727289198101243,0.22435855744528632,0.1026688648986372,-0.467625354821975,0.6410166839006883,,numerical
AMT_GOODS_PRICE,"(675000.0, 900000.0]",0.269344,0.06286568716681835,0.1250528438099574,0.1026688648986372,-0.467625354821975,3.6342089270974776,,numerical
AMT_GOODS_PRICE,"(900000.0, 4050000.0]",0.488179,0.05114160688238621,0.13655246983837924,0.1026688648986372,-0.467625354821975,6.586909230654923,,numerical
AMT_GOODS_PRICE,SPECIAL_-99999,0.052424656208098164,0.07692307692307693,0.0008983447692757959,0.1026688648986372,-0.467625354821975,0.7073562195240531,,numerical
REGION_RATING_CLIENT_W_CITY,1,0.5401663351895767,0.048676938842733226,0.1110654938050795,0.0515715290951491,-0.3852910374140522,6.005109838092741,,numerical
REGION_RATING_CLIENT_W_CITY,2,0.023166327966114383,0.0790264783086994,0.7464066209228968,0.0515715290951491,-0.3852910374140522,0.257543528574346,,numerical
REGION_RATING_CLIENT_W_CITY,3,-0.38810955605507386,0.11462225137609446,0.14252788527202367,0.0515715290951491,-0.3852910374140522,-4.314671910285133,,numerical
EXT_SOURCE_1,"(0.013600000000000001, 0.262]",-0.743845,0.1559551886792453,0.06894084745211537,0.156079739196619,-0.1382638787609087,-2.967534104771956,,numerical
EXT_SOURCE_1,"(0.262, 0.379]",-0.178287,0.09498820754716981,0.06894084745211537,0.156079739196619,-0.1382638787609087,-0.7112674723060285,,numerical
EXT_SOURCE_1,"(0.379, 0.487]",0.066303,0.07594339622641509,0.06894084745211537,0.156079739196619,-0.1382638787609087,0.2645126521636833,,numerical
EXT_SOURCE_1,"(0.487, 0.594]",0.330189,0.059375,0.06894084745211537,0.156079739196619,-0.1382638787609087,1.3172732471422777,,numerical
EXT_SOURCE_1,"(0.594, 0.703]",0.561394,0.04770328439176838,0.06893678254365712,0.156079739196619,-0.1382638787609087,2.239654553320043,,numerical
EXT_SOURCE_1,"(0.703, 0.952]",1.033664,0.030290970195454143,0.091923839875126,0.156079739196619,-0.1382638787609087,4.123753164805839,,numerical
EXT_SOURCE_1,SPECIAL_-99999,-0.059398603362752926,0.08524838558389553,0.5633759877727553,0.156079739196619,-0.1382638787609087,-0.23696789150265382,,numerical
EXT_SOURCE_3,"(-0.000473, 0.291]",-0.884846,0.17542791204564395,0.1268170140808429,0.3368972639841083,-0.0879922121138792,-2.2465519330893113,,numerical
EXT_SOURCE_3,"(0.291, 0.419]",-0.257329,0.10200405314118442,0.12636580924197588,0.3368972639841083,-0.0879922121138792,-0.6533373744018048,,numerical
EXT_SOURCE_3,"(0.419, 0.52]",0.124434,0.0719632473415363,0.12652840558030634,0.3368972639841083,-0.0879922121138792,0.31592779222829215,,numerical
EXT_SOURCE_3,"(0.52, 0.608]",0.428981,0.05409180369500349,0.1280527462521544,0.3368972639841083,-0.0879922121138792,1.089147823246741,,numerical
EXT_SOURCE_3,"(0.608, 0.688]",0.665028,0.043210076940557736,0.1252113752398296,0.3368972639841083,-0.0879922121138792,1.6884519328318357,,numerical
EXT_SOURCE_3,"(0.688, 0.896]",0.912506,0.034059682784553826,0.16863679229943743,0.3368972639841083,-0.0879922121138792,2.3167784204885313,,numerical
EXT_SOURCE_3,SPECIAL_-99999,-0.15229697961303548,0.09277737936686815,0.19838785730545347,0.3368972639841083,-0.0879922121138792,-0.3866696283345671,,numerical
FLAG_DOCUMENT_3,0,0.287126941955196,0.06182614555256065,0.2895515592988846,0.028519783333364,-0.5239203078903755,4.340539500175563,,numerical
FLAG_DOCUMENT_3,1,-0.09956451273662088,0.08843319448894585,0.7104484407011155,0.028519783333364,-0.5239203078903755,-1.505131136096841,,numerical
YEARS_AGE,"(20.519, 30.44]",-0.388951,0.11470769864141622,0.15797860232187572,0.0888990634667984,0.0948369207165256,1.0643313912007832,,numerical
YEARS_AGE,"(30.44, 36.56]",-0.246382,0.10100568430257979,0.15803957594874962,0.0888990634667984,0.0948369207165256,0.6742034262074948,,numerical
YEARS_AGE,"(36.56, 42.14]",-0.049723,0.08449688288938122,0.1577916165327957,0.0888990634667984,0.0948369207165256,0.13606276822704283,,numerical
YEARS_AGE,"(42.14, 48.56]",0.078951,0.07506053268765134,0.15780787616662872,0.0888990634667984,0.0948369207165256,-0.21604270889313312,,numerical
YEARS_AGE,"(48.56, 55.58]",0.201598,0.06697703130224543,0.15803957594874962,0.0888990634667984,0.0948369207165256,-0.5516558121801859,,numerical
YEARS_AGE,"(55.58, 63.4]",0.424948,0.05429852592516236,0.15773470781438,0.0888990634667984,0.0948369207165256,-1.1628341257073265,,numerical
YEARS_AGE,"(63.4, 69.12]",0.645073,0.0440426518312471,0.05260804526682059,0.0888990634667984,0.0948369207165256,-1.7651875005233635,,numerical
YEARS_EMPLOYED,"(-0.001, 2.1]",-0.36846,0.11264322402212565,0.20576566615719813,0.1144350509211557,-0.4186111844635671,-4.450468280137705,,numerical
YEARS_EMPLOYED,"(2.1, 5.12]",-0.224733,0.0990567598874731,0.24564241813274365,0.1144350509211557,-0.4186111844635671,-2.7144522824735025,,numerical
YEARS_EMPLOYED,"(5.12, 6.73]",0.01469,0.07964557964557964,0.08211928067379923,0.1144350509211557,-0.4186111844635671,0.1774341286305783,,numerical
YEARS_EMPLOYED,"(6.73, 12.0]",0.190672,0.0676630232731058,0.16400686156547756,0.1144350509211557,-0.4186111844635671,2.303044259649396,,numerical
YEARS_EMPLOYED,"(12.0, 49.07]",0.547508,0.04833806912046521,0.12302851939774316,0.1144350509211557,-0.4186111844635671,6.613111293279147,,numerical
YEARS_EMPLOYED,SPECIAL_-99999,0.4368782490848073,0.0536891466370659,0.1794372540730383,0.1144350509211557,-0.4186111844635671,5.276862589790029,,numerical
GOODS_CREDIT_RATIO,"(0.166, 0.783]",-0.4874,0.12509064539521392,0.10089915775096744,0.0765273648506301,-0.4432834420696546,-6.234068484278124,,numerical
GOODS_CREDIT_RATIO,"(0.783, 0.835]",-0.225282,0.09910574935673008,0.1927335696400117,0.0765273648506301,-0.4432834420696546,-2.881459614844367,,numerical
GOODS_CREDIT_RATIO,"(0.835, 0.873]",-0.074442,0.08642880715778666,0.1108541185652499,0.0765273648506301,-0.4432834420696546,-0.952147160661945,,numerical
GOODS_CREDIT_RATIO,"(0.873, 0.904]",0.140618,0.0708898534997287,0.14983252577151962,0.0765273648506301,-0.4432834420696546,1.7985684081293007,,numerical
GOODS_CREDIT_RATIO,"(0.904, 6.667]",0.240207,0.06460427709742278,0.4447822835029755,0.0765273648506301,-0.4432834420696546,3.072357177683618,,numerical
GOODS_CREDIT_RATIO,SPECIAL_-88888,0.052424656208098164,0.07692307692307693,0.0008983447692757959,0.0765273648506301,-0.4432834420696546,0.670535283270456,,numerical
ANNUITY_CREDIT_RATIO,"(0.0211, 0.0323]",0.333253,0.05920413278093192,0.15894605053494196,0.1459477571095993,-0.3993635444186945,3.8401396702111605,,numerical
ANNUITY_CREDIT_RATIO,"(0.0323, 0.05]",0.01607,0.07954447909811439,0.4261934571233456,0.1459477571095993,-0.3993635444186945,0.18517776134136332,,numerical
ANNUITY_CREDIT_RATIO,"(0.05, 0.124]",-0.121308,0.09020176581838137,0.41481984325712984,0.1459477571095993,-0.3993635444186945,-1.3978558726072245,,numerical
